@@   Adam, what is the mike that, uh,  Jeremy's  wearing?	0
Is that a  wireless,  or - ?	0
Is that - Does that mean you can't hear anything during the meeting?	0
Should we, uh, close the door, maybe? So it's - Yeah.	0
It - it's a fairly good mike, actually.	0
Well, I  shouldn't  say it's a good mike. All I really know is that the  signal  level is O_K. I don't know if it's a -	0
So I didn't send out agenda items because until five minutes ago we only had one agenda item and now we have  two.  So.	1
So, just to repeat the thing bef- that we said last week, it was there's this suggestion of alternating weeks on	1
more, uh, automatic speech recognition related or not? Was that sort of  the division?	1
So which week are we  in?	0
We haven't  really   started,  but I thought	1
we more - we more or less did  Meeting  Recorder stuff  last  week, so I thought we could do, uh -	0
I thought we had a thing about speech recognition last week  too.	0
But I figure also if they're  short  agenda items, we could  also  do a  little  bit of each. So.	1
I seem to be having  difficulty  getting this  adjusted.  Here we go.	0
So, uh, as most of you  should  know, I  did  send out the consent form thingies and, uh,	1
so far no one has made any -	1
any comments on them. So, no on- no one has bleeped out anything.	1
I don't expect anyone to. But.	0
So, w- what follows? At some point y- you go around and get people to  sign  something?	1
We had spoken w- about this before and we had decided that they have - they  only  needed to sign  once.	1
And the agreement that they  already  signed simply said that we would give them an opportunity.	0
So as long as we do that, we're covered.	0
And how long of an opportunity did you tell them?	0
Oh, so they have a- plenty of time, and y-	0
Given that it's that long, um,	0
Why  was that date chosen? You just felt you wanted to - ?	0
Jane told me July  fifteenth.  So, that's what I set it.	0
Oh. I just meant that	1
that was  the release date that  you  had on the   data.	1
Oh. I - I didn't understand that there was	0
something  specific.  You - y- you had -	0
I had heard July fifteenth, so that's what I put. So.	0
No, the only - th- the only  mention I recall about that was just that July fifteenth or so is when	0
You said you wanted it to be available  then.  I didn't mean it to be the hard deadline. It's fine with me if it is, or we cou- But I thought it might be good to  remind  people two weeks  prior  to that	1
in case, uh - you know, "by the way  this is your last -"	0
We  probably  should have talked about it, cuz i- because if we wanna be able to	1
give  it to people July fifteenth, if somebody's gonna come back and say "O_K, I don't want this and this and  this  used", uh, clearly we need  some  time	1
to  respond  to that. Right?	1
Yeah. As I said, we -	0
I just got one date and that's the one I used. So. But I can send a follow-up. I mean, it's  almost  all  us.	0
I mean the people who are in the meeti- this meeting was,	0
uh, these - the meetings that - in - are in set one.	0
Was my - was my response O_K? I just wrote you - replied to the email saying they're all fine.	0
Right. I mean, that's fine.	0
I - we don't - My understanding of what we  had  agreed  upon when we had spoken about this  months  ago was that,	0
uh, we don't  actually  need a  reply.	0
We just need to  tell  them that they can do it if they  want.	0
I just didn't remember, but -	0
And so no reply is	0
And he's  got  it so that the default thing you  see  when you look at the page is "O_K".	0
So that's very clear all the way down the page, "O_K". And they have two options they can change it to. One of them is  "censor", and the other one is "incorrect".	1
Is it - is - your word is "incorrect"? Which means also we get  feedback  on  if  um, there's something that they w-	0
that needs to be   adjusted,  because, I mean, these are very highly technical things. I mean, it's an added, uh, level of checking on the accuracy of the  transcription,  as  I  see it. But in any case, people  can  agree to things that are  wrong.   So.	0
Yeah. The reason I did that it was just so that people would not censor - not ask to have stuff removed because it was  transcribed  incorrectly,	0
And the reason  I  liked it was because -	0
as opposed to, uh -	0
was because it, um - it gives them the  option  of, uh, being able to  correct  it.	0
Approve it  and  correct it.	0
So, you have  it nicely set up so they email you and, uh -	0
When they submit the form, it gets processed and emailed to me.	0
Mm-hmm.  And I wanted to say the meetings that are involved in that set are Robustness and Meeting Recorder.	0
The German ones will be ready for next week.	1
Those are three - three of those. A different set of people. And we can impose -	0
O_K. I spoke loosely. The - the German, French - Sorry, the German,  Dutch, and Spanish ones.	0
Oh, those are the [MASK]	0
German, Dutch, Swiss and Spanish.	0
That's - that's - that's r-	0
O_K. I'd - I d-	0
Yeah.  It's the other group.	0
I- It was the network -	0
I didn't mean to  isolate them.	0
Otherwise known as the German, Dutch, and Spanish.	0
Yeah. Sorry. It was - it was not the best characterization.  But what -	0
what I meant to say was that it's the other group that's not -	0
n- no m- no overlap with our present members.	0
And then maybe it'd be good to set an explicit deadline, something like  a week  before that, uh, J- July fifteenth date, or two weeks before.	1
I mean, I would suggest we discuss - I mean, if we're going to have a  policy  on it, that we discuss the length of time that we want to give people,	0
so that we have a uniform thing. So, tha- that's a month, which is fine. I mean, it seems -	0
Well, the only thing I said in the email is that  the data is going to be  released  on the fifteenth. I didn't  give  any other deadline.	0
So my feeling is if someone after the fifteenth says, "wow I suddenly  found  something",	0
we'll delete it from our  record.  We just won't delete it from whatever's already been  released.	0
Hmm. That's a little bit difficult.	0
What else can we do?	0
If someone says "hey, look, I  found something in this meeting and  it's libelous and I want it removed".	0
What can we do? We  have  to remove it.	0
Well.  That's true. I - I agree with that part, but I think that it would - it, uh - we need to have, uh, a - a - a message to them very clearly that	0
beyond this date, you can't make additional changes.	0
I think that somebody  might   request something even though we  say  that. But I think it's good to at least  start  some place like that. So if we agreed,	0
O_K, how long is a reasonable amount of time for people to have - if we say two weeks, or if we say a month,	0
I think we should just  say  that - say that, you know, i- a- as  um,	0
"per the - the - the, uh, page you  signed,  you have the ability to look over this stuff" and so forth	0
"and, uh, because we w-"	0
these, uh - I would - I would imagine some sort of  generic  thing that would say "because we, uh, will continually be making these things available	0
to other  researchers,  uh, this can't be open-ended and so, uh, uh, please give us back your response within  this  am- you know, within this amount of time", whatever time we agree upon.	0
Well, did you read the email and look at the pages I sent?	0
Did I? No, I haven't yet. No, just -	0
No. O_K, well why don't you  do  that and then make comments on what you want me to change?	0
No, no. I'm not saying that you should change  anything.  I- I'm - what I'm - what I'm -	0
I'm trying to spark a discussion hopefully among people who  have  read it  so that - that you can -	0
you can, uh,  decide  on something. So I'm not telling you  what  to  decide.	0
I'm just saying you should  decide  something, and then -	0
I already  did  decide something, and that's what's in the  email.  And if you  disagree  with it, why don't you  read  it and give me  comments  on it?	1
Yeah, yeah. O_K, so -	0
I - I think that there's one missing line.	0
Well, the  one  thing that I  did  read and that you just  repeated  to me  was that you gave the specific date of July  fifteenth.	0
And you  also  just said that the  reason  you said that was because someone  said  it to you.	0
So what I'm telling you  is that what you should do is come up with a length of  time  that you guys think is  enough	0
and you should use  that  rather than  this  date  that you just  got  from somewhere. That's all I'm saying.	0
I ha- I have one question. This is in the summer period and presumably people may be out of town. But we can make the assumption, can't we? that, um, they will be receiving email, uh, most of the  month.  Right?	1
It - well, it - well, you're right. Sometimes somebody will be  away and, uh, you know, there's, uh - for  any  length of time that you	1
uh, choose  there is some person sometime who will not  end up reading it.	0
That's - it's, you know, just a certain risk to take.	1
S- so maybe when -  Am I on, by the way?	0
You should be channel B_.	0
Oh, O_K. Alright. So. The, um -	0
Maybe we should say in -	0
w- you know, when the whole thing  starts,  when they sign the -	1
you know, how - how they will be contacted	1
and they can, you know - they can be asked to give a phone number and an email address, or both.	0
We  did  that, I - I  believe.	0
A- And, then, you know, say very clearly that if they don't - if we don't hear from them,	1
you know, as Morgan suggested, by a certain time or after a certain	1
period after we  contact  them	1
that is implicitly giving their agreement.	1
Well, they've  already  signed a form.	1
And the form says -	0
And nobody - nobody really reads it anyway.	0
So. And the s- and the form was	1
Well, if that's i- tha- if that's already - if -	0
approved by Human Subjects, so, eh, that's gonna be a little hard to modify.	1
Well, the form - Well, the form doesn't say, if - uh, you know, "if you don't respond by [MASK] -"	0
So what does it say about the - the - the  process  of - of, uh -	0
It doesn't have a  time  limit.	0
That you'll be provided access to the transcripts and then, uh, allowed to  remove things that you'd like to remove,	0
before it goes to the general - uh,  larger  audience.	0
Here. You can read what you already signed.	0
I guess when I  read it, um -	0
I'm not as diligent as Chuck, but I had the feeling I should probably respond and tell Adam, like,	0
"I got this and I  will  do it by this  date,	0
and if you don't  hear  from me by then -" You know, in other words responding to  your  email   once,	0
right away, saying "as soon as you get this could you  please  respond."	0
And then if you - if the person thinks they'll need more time because they're out of town or whatever, they can tell you at that point?	0
Oh, I just - I didn't wanna  do  that, because I don't wanna have a discussion with every  person   if I can avoid it.	0
So what I  wanted  to do was just send it out and say	0
"on the fifteenth, the data is released, if you wanna do something about it,  do  something about it, but that's it".	0
I - I kind of  like  this. Yeah.	0
O_K. So, we're  assuming  that -	0
Well, that's - that would be great if -	0
but you should probably have a  legal person  look  at this and  make sure it's O_K. Because if you - if you, uh,  do  this	1
and you - then there's a  dispute  later and, uh, some -	1
you know, someone who  understands  these matters concludes that they didn't  have,  uh, you know, enough opportunity to actually	1
exercise their - their right -	1
Or they - they might never have gotten the  email,  because although they signed this, they don't know by which date to expect your  email.	1
And so  someone whose machine is down or whatever - I mean,	1
we have no - in-  internally  we know that people are there, but we have no confirmation that they got the mail.	0
Well, O_K. l- Let me - Let me  reverse  this.	0
So let's say someone - I send this out, and someone doesn't  respond.	0
Do we delete every meeting that they were  in?	0
It - we're hoping that doesn't happen, but that's why there's such a thing as registered mail or -	0
Because people don't read their email, or they'll read and say "I don't care about that, I'm not gonna delete anything" and they don- just won't reply to it.	1
Maybe - uh, do we have mailing  addresses   for these people?	1
No. We have  what  they put on the speaker form, which was just generic contact information.	0
But the ones that we're dealing with now are  all   local,  except the ones who - I mean, we - we're  totally  in contact with all the ones in those two groups.	0
So maybe, uh, I - you know, that's not that many people and if I - if, uh -	0
i- i- there  is  an advantage to having them admit - and if I can help with - with processing that, I will. It's - it's - there  is  an advantage to having them be on record as having received the mail and indicating -	0
Yeah. I mean I  thought  we had  discussed  this, like, a  year  ago. And so it seems like this is a little odd for it to be coming up  yet   again.	0
Well, I - you know. But sometimes -	0
Well, we - we haven't  experienced  it before. Right? So -	0
You'll either wonder  at the beginning or you'll wonder at the end.	0
Need to get it right.	0
I mean, there's no way to get around -	0
I- It's pretty much the same am- amount of work except for an additional email just saying they  got  the email. And maybe it's better legally to	0
wonder  before  - you know, a little bit earlier than -	0
