Do you want this closed?	0
I mean, we're testing noise robustness but let's not get silly.	0
Xerox things to pass out?	1
Yeah, I'm sorry for the table, but as it grows in size, uh, it.	1
Uh, so for th- the last column we use our imagination.	1
This  one's  nice,  though. This has  nice  big  font.	0
Uh, do you want  @@ .	0
When you get older you have these different perspectives. I mean, lowering the word hour rate is fine, but having  big   font!	0
Next time we will put colors or  something .	0
Yeah. It's mostly big font.	0
so there is kind of summary of	1
what has been done -	1
Summary of experiments since, well, since last week and also since the -	1
we've started to  run  - work on this.	1
Um.  So since last week we've started to fill the column with um	1
w- [MASK]	1
with on-line normalization but with delta also, because the column was not completely - well, it's still not completely filled, but	1
we have more results to [MASK]and	1
finally, hhh,  um  ehhh   P_L- uh delta seems very important.	1
Uh  I don't know. If you take um,	0
so, the next - t- the second, uh, part of the table,	0
uh  when we use the large training set using French, Spanish, and English,	1
you have one hundred and six	1
[MASK]	1
a- And again all of these numbers are with a hundred percent being, uh, the baseline performance, but [MASK] Yes.	1
Yeah, on the baseline, yeah.	1
So now we see that the gap between the different training set is much  uh	0
It's out of the way.	0
for [MASK]	1
And f- also for Italian, actually.	0
If you take the second	0
set of experiment for Italian, so, the mismatched condition,	0
when [MASK]	1
so, it's multi-English, we have a ninety-one number,	1
and training with other languages is a little bit worse.	1
Oh,  I  see. Down near the bottom of this sheet.	0
And, yeah, and here the gap is still more important between using delta and not using delta.	1
If y- if I take the training s- the large training set, it's - we have one hundred and seventy-two,	1
and one hundred and four when we use delta.	1
Even if the contexts used is quite the same, because without delta we use  seventeenths - seventeen  frames.	1
Yeah, um, so the second point is that we have no single cross-language experiments,	0
uh, that we did not have last week.	0
training the net on French	0
only, or on English only, and testing on Italian.	0
And training the net on French only and Spanish only and testing on,	0
What we see is that	0
these nets are not as good, [MASK] which is always one of the best.	1
Yeah, then we started to work	1
on a large dat- database containing,	1
uh, [MASK]	1
uh English digits, and from Italian digits.	1
So this is the - another line -	0
another set of lines in the table.	0
Uh,  @@  with SPINE and	1
uh, actually we did this before knowing the result of all the data,	1
uh, so we have to- to redo	1
the uh - [MASK]	1
this - this net performed quite well.	0
it's - it's better than the net using French, Spanish, and English only.	0
